cluster	number of LBDs	DPS	PAB species	total species
cluster_1	3814	30.10	394	1309
cluster_2	1140	22.42	176	785
cluster_3	1112	15.89	116	730
cluster_4	603	34.68	172	496
cluster_5	565	27.63	126	456
cluster_6	514	22.52	100	444
cluster_7	431	17.85	58	325
cluster_8	405	38.33	115	300
cluster_9	387	0.00	0	105
cluster_10	385	34.18	121	354
cluster_11	363	35.80	116	324
cluster_12	341	17.85	53	297
cluster_13	320	24.50	61	249
cluster_14	309	49.05	103	210
cluster_15	307	32.97	91	276
cluster_16	305	2.70	7	259
cluster_17	301	13.01	32	246
cluster_18	287	36.36	52	143
cluster_19	280	35.27	85	241
cluster_20	279	51.55	100	194
cluster_21	268	33.74	55	163
cluster_22	265	37.17	71	191
cluster_23	265	29.00	67	231
cluster_24	254	6.60	14	212
cluster_25	252	0.00	0	75
cluster_26	251	15.32	34	222
cluster_27	249	23.32	45	193
cluster_28	245	30.52	65	213
cluster_29	242	37.31	75	201
cluster_30	239	1.05	2	190
cluster_31	238	14.66	28	191
cluster_32	237	39.49	77	195
cluster_33	234	3.33	6	180
cluster_34	231	35.38	69	195
cluster_35	229	16.00	32	200
cluster_36	226	36.64	48	131
cluster_37	224	7.00	14	200
cluster_38	223	39.13	63	161
cluster_39	219	21.00	42	200
cluster_40	216	32.14	63	196
cluster_41	214	40.00	62	155
cluster_42	213	52.55	72	137
cluster_43	212	31.79	62	195
cluster_44	210	10.17	18	177
cluster_45	207	25.61	42	164
cluster_46	198	41.57	74	178
cluster_47	196	1.21	2	165
cluster_48	196	43.67	69	158
cluster_49	192	53.98	61	113
cluster_50	189	9.41	16	170
cluster_51	186	41.14	65	158
cluster_52	186	3.18	5	157
cluster_53	184	58.13	93	160
cluster_54	183	27.11	45	166
cluster_55	180	0.00	0	177
cluster_56	179	35.58	58	163
cluster_57	176	19.88	32	161
cluster_58	174	14.65	23	157
cluster_59	172	13.51	20	148
cluster_60	171	7.38	9	122
cluster_61	169	6.58	5	76
cluster_62	165	14.94	23	154
cluster_63	164	7.04	10	142
cluster_64	161	1.68	2	119
cluster_65	159	10.49	15	143
cluster_66	158	64.63	53	82
cluster_67	157	13.07	20	153
cluster_68	156	10.29	14	136
cluster_69	155	30.83	37	120
cluster_70	153	27.97	40	143
cluster_71	151	21.64	29	134
cluster_72	151	67.86	57	84
cluster_73	151	82.44	108	131
cluster_74	149	70.54	91	129
cluster_75	149	18.55	23	124
cluster_76	148	13.39	15	112
cluster_77	148	40.00	52	130
cluster_78	146	6.77	9	133
cluster_79	142	25.78	33	128
cluster_80	141	24.59	30	122
cluster_81	141	19.85	27	136
cluster_82	140	36.73	36	98
cluster_83	139	15.38	16	104
cluster_84	137	9.17	11	120
cluster_85	137	0.76	1	132
cluster_86	136	12.20	15	123
cluster_87	135	18.97	22	116
cluster_88	135	18.03	22	122
cluster_89	134	0.94	1	106
cluster_90	130	19.83	23	116
cluster_91	130	51.00	51	100
cluster_92	128	1.92	1	52
cluster_93	128	4.96	6	121
cluster_94	128	10.00	11	110
cluster_95	127	29.36	32	109
cluster_96	123	34.48	40	116
cluster_97	122	61.11	55	90
cluster_98	120	26.42	28	106
cluster_99	119	4.55	5	110
cluster_100	119	17.39	20	115
cluster_101	119	57.00	57	100
cluster_102	117	61.70	58	94
cluster_103	116	37.04	40	108
cluster_104	115	14.85	15	101
cluster_105	114	2.67	2	75
cluster_106	114	10.68	11	103
cluster_107	111	27.62	29	105
cluster_108	111	40.78	42	103
cluster_109	110	27.62	29	105
cluster_110	109	2.20	2	91
cluster_111	108	39.56	36	91
cluster_112	108	15.38	16	104
cluster_113	107	43.37	36	83
cluster_114	106	39.02	32	82
cluster_115	106	0.00	0	100
cluster_116	106	58.06	54	93
cluster_117	106	11.70	11	94
cluster_118	105	0.00	0	94
cluster_119	105	13.48	12	89
cluster_120	104	0.00	0	96
cluster_121	103	10.20	10	98
cluster_122	103	34.74	33	95
cluster_123	102	65.31	32	49
cluster_124	101	3.77	2	53
cluster_125	98	1.19	1	84
cluster_126	94	22.22	18	81
cluster_127	93	7.06	6	85
cluster_128	93	3.17	2	63
cluster_129	93	76.92	50	65
cluster_130	93	46.67	35	75
cluster_131	92	46.05	35	76
cluster_132	92	62.82	49	78
cluster_133	91	59.49	47	79
cluster_134	91	57.97	40	69
cluster_135	90	47.89	34	71
cluster_136	90	67.12	49	73
cluster_137	90	21.13	15	71
cluster_138	89	91.78	67	73
cluster_139	88	5.13	4	78
cluster_140	88	13.92	11	79
cluster_141	88	2.78	2	72
cluster_142	87	13.41	11	82
cluster_143	87	66.67	56	84
cluster_144	86	33.77	26	77
cluster_145	86	13.41	11	82
cluster_146	85	17.86	15	84
cluster_147	85	74.58	44	59
cluster_148	85	2.17	1	46
cluster_149	84	86.44	51	59
cluster_150	83	60.87	42	69
cluster_151	83	54.55	30	55
cluster_152	83	11.39	9	79
cluster_153	83	10.53	8	76
cluster_154	83	2.74	2	73
cluster_155	82	50.67	38	75
cluster_156	82	2.86	2	70
cluster_157	82	65.52	38	58
cluster_158	82	29.49	23	78
cluster_159	82	35.21	25	71
cluster_160	81	39.74	31	78
cluster_161	81	30.00	24	80
cluster_162	80	64.62	42	65
cluster_163	80	1.37	1	73
